actual_train_samples,background_cell_count,balanced_f1,balanced_false_alarm_count,balanced_magmse_db_to_clean,balanced_measured_pfa,balanced_mid_pd,balanced_model_clean_mse_db_to_clean,balanced_mse_db_to_clean,balanced_overall_pd,balanced_strong_pd,balanced_target_peak_abs_bias_db_mean,balanced_weak_hits,balanced_weak_n,balanced_weak_pd,capacity,experiment_type,f1_delta,false_alarm_count_delta,mask_name,measured_pfa_delta,mid_pd_delta,overall_pd_delta,requested_train_samples,strong_pd_delta,target_pfa,target_scope,train_unique_frames,train_uses_repeated_frames,weak_hit_delta,weak_pd_delta,weak_weak_hits,weak_weak_n,weak_weighted_f1,weak_weighted_false_alarm_count,weak_weighted_magmse_db_to_clean,weak_weighted_measured_pfa,weak_weighted_mid_pd,weak_weighted_model_clean_mse_db_to_clean,weak_weighted_mse_db_to_clean,weak_weighted_overall_pd,weak_weighted_strong_pd,weak_weighted_target_peak_abs_bias_db_mean,weak_weighted_weak_pd
600,14165,0.10712372790573112,22,0.2266679295952796,0.0015531238969290506,0.9634146341463414,0.05786722078905954,0.2266679295952796,0.4754521963824289,1.0,0.1547599095016299,62,262,0.2366412213740458,current_simple_fcn_h128,capacity,-0.0014370326267611616,-3,default,-0.00021178962230850701,-0.03658536585365846,-0.00516795865633074,600,0.0,0.001,all,300,True,1,0.0038167938931297773,63,262,0.10568669527896996,19,0.21106180379215878,0.0013413342746205436,0.926829268292683,0.067939083935522,0.21106180379215878,0.4702842377260982,1.0,0.10220378479801956,0.24045801526717558
600,14165,0.13780828883803714,150,0.2266679295952796,0.010589481115425344,0.975609756097561,0.05786722078905954,0.2266679295952796,0.5736434108527132,1.0,0.1547599095016299,99,262,0.37786259541984735,current_simple_fcn_h128,capacity,0.0010523418842416088,-3,default,-0.00021178962230850723,0.0,0.007751937984496138,600,0.0,0.01,all,300,True,3,0.011450381679389277,102,262,0.13886063072227875,147,0.21106180379215878,0.010377691493116837,0.975609756097561,0.067939083935522,0.21106180379215878,0.5813953488372093,1.0,0.10220378479801956,0.3893129770992366
600,14165,0.10712372790573112,22,0.2266679295952796,0.0015531238969290506,1.0,0.05786722078905954,0.2266679295952796,0.27586206896551724,,0.1547599095016299,42,189,0.2222222222222222,current_simple_fcn_h128,capacity,-0.0014370326267611616,-3,default,-0.00021178962230850701,0.0,0.009852216748768461,600,0.0,0.001,non_overlap_only,300,True,2,0.010582010582010581,44,189,0.10568669527896996,19,0.21106180379215878,0.0013413342746205436,1.0,0.067939083935522,0.21106180379215878,0.2857142857142857,,0.10220378479801956,0.2328042328042328
600,14165,0.13780828883803714,150,0.2266679295952796,0.010589481115425344,1.0,0.05786722078905954,0.2266679295952796,0.4236453201970443,,0.1547599095016299,72,189,0.38095238095238093,current_simple_fcn_h128,capacity,0.0010523418842416088,-3,default,-0.00021178962230850723,0.0,0.0049261083743842304,600,0.0,0.01,non_overlap_only,300,True,1,0.005291005291005291,73,189,0.13886063072227875,147,0.21106180379215878,0.010377691493116837,1.0,0.067939083935522,0.21106180379215878,0.42857142857142855,,0.10220378479801956,0.3862433862433862
600,15058,0.15308075009567548,22,0.2266679295952796,0.001461017399389029,0.7456140350877193,0.05786722078905954,0.2266679295952796,0.3875968992248062,1.0,0.14496444752205967,35,243,0.1440329218106996,current_simple_fcn_h128,capacity,-0.0019491812425876387,-3,narrow,-0.00019922964537123127,-0.02631578947368418,-0.0025839793281653978,600,0.0,0.001,all,300,True,2,0.00823045267489711,37,243,0.15113156885308784,19,0.21106180379215878,0.0012617877540177977,0.7192982456140351,0.067939083935522,0.21106180379215878,0.3850129198966408,1.0,0.09199158926566663,0.1522633744855967
600,15058,0.19148936170212766,159,0.2266679295952796,0.010559171204675255,0.7719298245614035,0.05786722078905954,0.2266679295952796,0.4806201550387597,1.0,0.14496444752205967,68,243,0.27983539094650206,current_simple_fcn_h128,capacity,0.0020590253946465575,-2,narrow,-0.0001328197635808194,0.0,0.0025839793281653423,600,0.0,0.01,all,300,True,1,0.004115226337448541,69,243,0.19354838709677422,157,0.21106180379215878,0.010426351441094436,0.7719298245614035,0.067939083935522,0.21106180379215878,0.48320413436692505,1.0,0.09199158926566663,0.2839506172839506
600,15058,0.15308075009567548,22,0.2266679295952796,0.001461017399389029,0.7794117647058824,0.05786722078905954,0.2266679295952796,0.31399317406143346,1.0,0.14496444752205967,31,217,0.14285714285714285,current_simple_fcn_h128,capacity,-0.0019491812425876387,-3,narrow,-0.00019922964537123127,0.0,0.0068259385665528916,600,0.0,0.001,non_overlap_only,300,True,2,0.009216589861751168,33,217,0.15113156885308784,19,0.21106180379215878,0.0012617877540177977,0.7794117647058824,0.067939083935522,0.21106180379215878,0.32081911262798635,1.0,0.09199158926566663,0.15207373271889402
600,15058,0.19148936170212766,159,0.2266679295952796,0.010559171204675255,0.7941176470588235,0.05786722078905954,0.2266679295952796,0.4232081911262799,1.0,0.14496444752205967,62,217,0.2857142857142857,current_simple_fcn_h128,capacity,0.0020590253946465575,-2,narrow,-0.0001328197635808194,0.0,0.0034129692832764458,600,0.0,0.01,non_overlap_only,300,True,1,0.004608294930875612,63,217,0.19354838709677422,157,0.21106180379215878,0.010426351441094436,0.7941176470588235,0.067939083935522,0.21106180379215878,0.42662116040955633,1.0,0.09199158926566663,0.2903225806451613
600,14165,0.09951586874663797,21,0.4030150618906447,0.0014825273561595482,0.8780487804878049,0.04594706765428526,0.4030150618906447,0.4418604651162791,0.9534883720930233,0.11280725982963616,58,262,0.22137404580152673,shallow_unet1d_c16,capacity,-0.00048465238495873364,-1,default,-7.059654076950234e-05,0.0,0.0025839793281653423,600,0.0,0.001,all,300,True,1,0.0038167938931297496,59,262,0.09903121636167923,20,0.32770969999122446,0.0014119308153900459,0.8780487804878049,0.07223729392028501,0.32770969999122446,0.4444444444444444,0.9534883720930233,0.1432592969773841,0.22519083969465647
600,14165,0.13214285714285712,149,0.4030150618906447,0.010518884574655841,0.975609756097561,0.04594706765428526,0.4030150618906447,0.5633074935400517,1.0,0.11280725982963616,95,262,0.36259541984732824,shallow_unet1d_c16,capacity,-0.0013971983073106653,-1,default,-7.059654076950125e-05,0.0,-0.0051679586563307955,600,0.0,0.01,all,300,True,-2,-0.007633587786259555,93,262,0.13074565883554645,148,0.32770969999122446,0.01044828803388634,0.975609756097561,0.07223729392028501,0.32770969999122446,0.5581395348837209,1.0,0.1432592969773841,0.3549618320610687
600,14165,0.09951586874663797,21,0.4030150618906447,0.0014825273561595482,1.0,0.04594706765428526,0.4030150618906447,0.26108374384236455,,0.11280725982963616,39,189,0.20634920634920634,shallow_unet1d_c16,capacity,-0.00048465238495873364,-1,default,-7.059654076950234e-05,0.0,0.0049261083743842304,600,0.0,0.001,non_overlap_only,300,True,1,0.005291005291005291,40,189,0.09903121636167923,20,0.32770969999122446,0.0014119308153900459,1.0,0.07223729392028501,0.32770969999122446,0.2660098522167488,,0.1432592969773841,0.21164021164021163
600,14165,0.13214285714285712,149,0.4030150618906447,0.010518884574655841,1.0,0.04594706765428526,0.4030150618906447,0.4039408866995074,,0.11280725982963616,68,189,0.35978835978835977,shallow_unet1d_c16,capacity,-0.0013971983073106653,-1,default,-7.059654076950125e-05,0.0,-0.009852216748768461,600,0.0,0.01,non_overlap_only,300,True,-2,-0.010582010582010581,66,189,0.13074565883554645,148,0.32770969999122446,0.01044828803388634,1.0,0.07223729392028501,0.32770969999122446,0.39408866995073893,,0.1432592969773841,0.3492063492063492
600,15058,0.1424720831728918,21,0.4030150618906447,0.0013946075175986187,0.6929824561403509,0.04594706765428526,0.4030150618906447,0.36175710594315247,0.9666666666666667,0.11359974789314226,32,243,0.13168724279835392,shallow_unet1d_c16,capacity,-0.0006609078357049103,-1,narrow,-6.640988179041035e-05,0.0,0.0025839793281653423,600,0.0,0.001,all,300,True,1,0.004115226337448541,33,243,0.1418111753371869,20,0.32770969999122446,0.0013281976358082083,0.6929824561403509,0.07223729392028501,0.32770969999122446,0.3643410852713178,0.9666666666666667,0.15071933941931737,0.13580246913580246
600,15058,0.1824661439771917,159,0.4030150618906447,0.010559171204675255,0.7631578947368421,0.04594706765428526,0.4030150618906447,0.4599483204134367,1.0,0.11359974789314226,61,243,0.25102880658436216,shallow_unet1d_c16,capacity,-0.0024661439771916926,-2,narrow,-0.0001328197635808194,0.0,-0.00516795865633074,600,0.0,0.01,all,300,True,-2,-0.008230452674897137,59,243,0.18000000000000002,157,0.32770969999122446,0.010426351441094436,0.7631578947368421,0.07223729392028501,0.32770969999122446,0.45478036175710596,1.0,0.15071933941931737,0.24279835390946503
600,15058,0.1424720831728918,21,0.4030150618906447,0.0013946075175986187,0.7794117647058824,0.04594706765428526,0.4030150618906447,0.3037542662116041,1.0,0.11359974789314226,28,217,0.12903225806451613,shallow_unet1d_c16,capacity,-0.0006609078357049103,-1,narrow,-6.640988179041035e-05,0.0,0.0034129692832764458,600,0.0,0.001,non_overlap_only,300,True,1,0.004608294930875584,29,217,0.1418111753371869,20,0.32770969999122446,0.0013281976358082083,0.7794117647058824,0.07223729392028501,0.32770969999122446,0.30716723549488056,1.0,0.15071933941931737,0.1336405529953917
600,15058,0.1824661439771917,159,0.4030150618906447,0.010559171204675255,0.7794117647058824,0.04594706765428526,0.4030150618906447,0.40273037542662116,1.0,0.11359974789314226,57,217,0.2626728110599078,shallow_unet1d_c16,capacity,-0.0024661439771916926,-2,narrow,-0.0001328197635808194,0.0,-0.0068259385665528916,600,0.0,0.01,non_overlap_only,300,True,-2,-0.009216589861751112,55,217,0.18000000000000002,157,0.32770969999122446,0.010426351441094436,0.7794117647058824,0.07223729392028501,0.32770969999122446,0.39590443686006827,1.0,0.15071933941931737,0.2534562211981567
600,14165,0.10112963959117806,18,0.13058892258847707,0.0012707377338510412,0.926829268292683,0.040461446352950556,0.13058892258847707,0.4625322997416021,1.0,0.11918894652975903,60,262,0.22900763358778625,wider_fcn_h256,capacity,0.005122037360794043,-1,default,-7.059654076950212e-05,0.03658536585365846,0.01550387596899222,600,0.0,0.001,all,300,True,3,0.011450381679389332,63,262,0.1062516769519721,17,0.13346620229780318,0.001200141193081539,0.9634146341463414,0.03762633267415735,0.13346620229780318,0.4780361757105943,1.0,0.13110379411151016,0.24045801526717558
600,14165,0.14060913705583758,151,0.13058892258847707,0.010660077656194847,0.975609756097561,0.040461446352950556,0.13058892258847707,0.58656330749354,1.0,0.11918894652975903,104,262,0.3969465648854962,wider_fcn_h256,capacity,-0.0004008566392767199,-2,default,-0.00014119308153900598,0.0,0.0,600,0.0,0.01,all,300,True,0,0.0,104,262,0.14020828041656086,149,0.13346620229780318,0.010518884574655841,0.975609756097561,0.03762633267415735,0.13346620229780318,0.58656330749354,1.0,0.13110379411151016,0.3969465648854962
600,14165,0.10112963959117806,18,0.13058892258847707,0.0012707377338510412,1.0,0.040461446352950556,0.13058892258847707,0.270935960591133,,0.11918894652975903,41,189,0.21693121693121692,wider_fcn_h256,capacity,0.005122037360794043,-1,default,-7.059654076950212e-05,0.0,0.009852216748768461,600,0.0,0.001,non_overlap_only,300,True,2,0.010582010582010581,43,189,0.1062516769519721,17,0.13346620229780318,0.001200141193081539,1.0,0.03762633267415735,0.13346620229780318,0.28078817733990147,,0.13110379411151016,0.2275132275132275
600,14165,0.14060913705583758,151,0.13058892258847707,0.010660077656194847,1.0,0.040461446352950556,0.13058892258847707,0.43349753694581283,,0.11918894652975903,74,189,0.3915343915343915,wider_fcn_h256,capacity,-0.0004008566392767199,-2,default,-0.00014119308153900598,0.0,0.0,600,0.0,0.01,non_overlap_only,300,True,0,0.0,74,189,0.14020828041656086,149,0.13346620229780318,0.010518884574655841,1.0,0.03762633267415735,0.13346620229780318,0.43349753694581283,,0.13110379411151016,0.3915343915343915
600,15058,0.14478244127839812,18,0.13058892258847707,0.0011953778722273874,0.7192982456140351,0.040461446352950556,0.13058892258847707,0.3772609819121447,1.0,0.11327744350920721,34,243,0.13991769547325103,wider_fcn_h256,capacity,0.007174580977933415,-1,narrow,-6.640988179041035e-05,0.02631578947368418,0.012919896640826878,600,0.0,0.001,all,300,True,2,0.00823045267489711,36,243,0.15195702225633154,17,0.13346620229780318,0.001128967990436977,0.7456140350877193,0.03762633267415735,0.13346620229780318,0.39018087855297157,1.0,0.12214414293965932,0.14814814814814814
600,15058,0.1920623671155209,160,0.13058892258847707,0.010625581086465666,0.7719298245614035,0.040461446352950556,0.13058892258847707,0.48320413436692505,1.0,0.11327744350920721,69,243,0.2839506172839506,wider_fcn_h256,capacity,0.0004775973605004036,-7,narrow,-0.0004648691725328731,0.0,0.0,600,0.0,0.01,all,300,True,0,0.0,69,243,0.1925399644760213,153,0.13346620229780318,0.010160711913932793,0.7719298245614035,0.03762633267415735,0.13346620229780318,0.48320413436692505,1.0,0.12214414293965932,0.2839506172839506
600,15058,0.14478244127839812,18,0.13058892258847707,0.0011953778722273874,0.7794117647058824,0.040461446352950556,0.13058892258847707,0.310580204778157,1.0,0.11327744350920721,30,217,0.1382488479262673,wider_fcn_h256,capacity,0.007174580977933415,-1,narrow,-6.640988179041035e-05,0.0,0.0068259385665528916,600,0.0,0.001,non_overlap_only,300,True,2,0.00921658986175114,32,217,0.15195702225633154,17,0.13346620229780318,0.001128967990436977,0.7794117647058824,0.03762633267415735,0.13346620229780318,0.3174061433447099,1.0,0.12214414293965932,0.14746543778801843
600,15058,0.1920623671155209,160,0.13058892258847707,0.010625581086465666,0.7941176470588235,0.040461446352950556,0.13058892258847707,0.42662116040955633,1.0,0.11327744350920721,63,217,0.2903225806451613,wider_fcn_h256,capacity,0.0004775973605004036,-7,narrow,-0.0004648691725328731,0.0,0.0,600,0.0,0.01,non_overlap_only,300,True,0,0.0,63,217,0.1925399644760213,153,0.13346620229780318,0.010160711913932793,0.7941176470588235,0.03762633267415735,0.13346620229780318,0.42662116040955633,1.0,0.12214414293965932,0.2903225806451613
