background_det_term,detection_term,epoch,grad_norm_before_clip,lambda_rec,lr,magmse_term,method,pos_weight,seed,stage,step,target_det_term,train_loss,val_background_det_term,val_detection_term,val_loss,val_magmse_term,val_target_det_term,weak_weight
0.2096785306930542,0.21011513471603394,,6.3726067543029785,0.5,0.0003,16.23454475402832,balanced_mild,16.146636940880736,42,tiny_batch,1,0.21598227322101593,8.327387809753418,,,,,,
0.11825217306613922,0.12331301718950272,,3.066114902496338,0.5,0.0003,6.623019695281982,balanced_mild,16.146636940880736,42,tiny_batch,5,0.2007838934659958,3.4348227977752686,,,,,,
0.16940127313137054,0.1806269884109497,,2.404921054840088,0.5,0.0003,4.514537811279297,balanced_mild,16.146636940880736,42,tiny_batch,10,0.3205820918083191,2.4378957748413086,,,,,,
0.15614540874958038,0.1607498675584793,,5.37116003036499,0.5,0.0003,9.15010929107666,balanced_mild,16.146636940880736,42,tiny_batch,15,0.21828074753284454,4.735804557800293,,,,,,
0.15046818554401398,0.1719413548707962,,4.781980991363525,0.5,0.0003,7.113539218902588,balanced_mild,16.146636940880736,42,tiny_batch,20,0.41353029012680054,3.728710889816284,,,,,,
0.13604220747947693,0.13891097903251648,,2.8184635639190674,0.5,0.0003,4.501104831695557,balanced_mild,16.146636940880736,42,tiny_batch,25,0.1927105039358139,2.389463424682617,,,,,,
0.1672554761171341,0.18470123410224915,,7.524686813354492,0.5,0.0003,8.945809364318848,balanced_mild,16.146636940880736,42,tiny_batch,30,0.3805501163005829,4.65760612487793,,,,,,
0.16293416917324066,0.16905969381332397,,7.4908833503723145,0.5,0.0003,10.236194610595703,balanced_mild,16.146636940880736,42,tiny_batch,35,0.2624116837978363,5.28715705871582,,,,,,
0.04036486556287855,0.196233454781274,1,5.030539093539119,0.5,0.0003,4.635414185623328,balanced_mild,16.146636940880736,42,small_subset,,2.761153663198153,2.513940549145142,0.03395428881049156,0.20363862812519073,2.5483264923095703,4.689375877380371,2.753755569458008,
0.035731768778835736,0.19921974612710378,2,5.836927235747377,0.5,0.0003,4.203896412005027,balanced_mild,16.146636940880736,42,small_subset,,2.863806919505199,2.3011679593473673,0.03793282061815262,0.18812666833400726,2.3656344413757324,4.355015754699707,2.445328712463379,
0.03716187375054384,0.19258086810198924,3,5.592356750120719,0.5,0.0003,3.912404078990221,balanced_mild,16.146636940880736,42,small_subset,,2.7500319158037505,2.1487828952570758,0.033664003014564514,0.196648508310318,2.229339838027954,4.065382480621338,2.6460764408111572,
0.03819951727443064,0.18895389030997953,4,5.49486435080568,0.5,0.0003,3.5786745796600976,balanced_mild,16.146636940880736,42,small_subset,,2.696234023819367,1.9782911768803995,0.039372947067022324,0.1827356517314911,2.039433479309082,3.713395595550537,2.337275266647339,
0.03989544768895333,0.1851693376277884,5,5.731646977985899,0.5,0.0003,3.331282633046309,balanced_mild,16.146636940880736,42,small_subset,,2.5808744207024574,1.8508106575657923,0.0447135865688324,0.17339348793029785,1.9170650243759155,3.4873430728912354,2.107271432876587,
0.2096785306930542,0.20970743894577026,,6.401822566986084,0.5,0.0003,16.23454475402832,weak_weighting,,42,tiny_batch,1,0.21598227322101593,8.326979637145996,,,,,,2.0
0.11825215071439743,0.11858471482992172,,3.0885353088378906,0.5,0.0003,6.623018741607666,weak_weighting,,42,tiny_batch,5,0.20078396797180176,3.430094003677368,,,,,,2.0
0.16939868032932281,0.17014601826667786,,2.4577889442443848,0.5,0.0003,4.51450252532959,weak_weighting,,42,tiny_batch,10,0.3205893933773041,2.4273972511291504,,,,,,2.0
0.15613332390785217,0.15644001960754395,,5.434787273406982,0.5,0.0003,9.149737358093262,weak_weighting,,42,tiny_batch,15,0.21831543743610382,4.731308937072754,,,,,,2.0
0.15043269097805023,0.1518738865852356,,4.8949151039123535,0.5,0.0003,7.112644195556641,weak_weighting,,42,tiny_batch,20,0.41368329524993896,3.708195924758911,,,,,,2.0
0.1359594315290451,0.13614708185195923,,2.8734192848205566,0.5,0.0003,4.499987602233887,weak_weighting,,42,tiny_batch,25,0.19296547770500183,2.386140823364258,,,,,,2.0
0.16701632738113403,0.16819195449352264,,7.687934875488281,0.5,0.0003,8.940152168273926,weak_weighting,,42,tiny_batch,30,0.38129228353500366,4.638267993927002,,,,,,2.0
0.16254419088363647,0.16295401751995087,,7.619877815246582,0.5,0.0003,10.229353904724121,weak_weighting,,42,tiny_batch,35,0.26380017399787903,5.277630805969238,,,,,,2.0
0.03918950193716834,0.05277738739581158,1,5.202492956072092,0.5,0.0003,4.635385752345125,weak_weighting,,42,small_subset,,2.8325497278322778,2.3704702593386173,0.03243904188275337,0.047972969710826874,2.4140100479125977,4.73207426071167,2.869373321533203,2.0
0.034368333678382136,0.048701116854014494,2,5.955502649769187,0.5,0.0003,4.222811841716369,weak_weighting,,42,small_subset,,2.9669182350238166,2.1601070389151573,0.03654646873474121,0.05040692910552025,2.241767406463623,4.382720947265625,2.5409998893737793,2.0
0.03577858390053734,0.049460208121066294,3,5.717307562629382,0.5,0.0003,3.946002678324779,weak_weighting,,42,small_subset,,2.853362853328387,2.0224615478267274,0.032328370958566666,0.047303639352321625,2.1185989379882812,4.142590522766113,2.7625315189361572,2.0
0.036590918335908405,0.049918873235583305,4,5.489245493585865,0.5,0.0003,3.62022935350736,weak_weighting,,42,small_subset,,2.8085791940490403,1.8600335512310266,0.03801702708005905,0.051239922642707825,1.9324878454208374,3.762495756149292,2.428581714630127,2.0
0.03827752772485837,0.05110069729077319,5,5.622213117157419,0.5,0.0003,3.3668985329568386,weak_weighting,,42,small_subset,,2.687553118293484,1.734549958879749,0.04263491928577423,0.05471135303378105,1.8120067119598389,3.5145907402038574,2.213588237762451,2.0
0.1220366582274437,0.12690341472625732,,7.0379767417907715,0.5,0.0003,7.433102130889893,balanced_mild,16.146636940880736,200,tiny_batch,1,0.1987791508436203,3.843454360961914,,,,,,
0.14605355262756348,0.1446824073791504,,9.030586242675781,0.5,0.0003,8.808825492858887,balanced_mild,16.146636940880736,200,tiny_batch,5,0.12373895943164825,4.549095153808594,,,,,,
0.13568015396595,0.16511036455631256,,1.1659746170043945,0.5,0.0003,1.6245620250701904,balanced_mild,16.146636940880736,200,tiny_batch,10,0.49622219800949097,0.9773913621902466,,,,,,
0.15356293320655823,0.1510639637708664,,15.104086875915527,0.5,0.0003,12.993660926818848,balanced_mild,16.146636940880736,200,tiny_batch,15,0.10699369758367538,6.647894382476807,,,,,,
0.1676660180091858,0.16905942559242249,,12.336146354675293,0.5,0.0003,10.80733871459961,balanced_mild,16.146636940880736,200,tiny_batch,20,0.18643173575401306,5.572728633880615,,,,,,
0.11049877852201462,0.14041085541248322,,5.453967094421387,0.5,0.0003,5.872494220733643,balanced_mild,16.146636940880736,200,tiny_batch,25,0.4776797294616699,3.076658010482788,,,,,,
0.1358715444803238,0.1476128101348877,,5.480174541473389,0.5,0.0003,1.3817681074142456,balanced_mild,16.146636940880736,200,tiny_batch,30,0.32654720544815063,0.8384968638420105,,,,,,
0.09872037172317505,0.10373196750879288,,6.680846214294434,0.5,0.0003,1.9547758102416992,balanced_mild,16.146636940880736,200,tiny_batch,35,0.1885562390089035,1.0811198949813843,,,,,,
0.038838248079021774,0.20009998814202845,1,6.483048619702458,0.5,0.0003,4.569381757328908,balanced_mild,16.146636940880736,200,small_subset,,2.8590885121375322,2.484790876507759,0.041687607765197754,0.18748857080936432,2.498102903366089,4.6212286949157715,2.3786721229553223,
0.036868149666891746,0.19902981468476355,2,6.1934979657332105,0.5,0.0003,4.080527106920878,balanced_mild,16.146636940880736,200,small_subset,,2.851729931930701,2.2392933617035546,0.041673000901937485,0.18404638767242432,2.262071132659912,4.1560492515563965,2.3237180709838867,
0.03935055248439312,0.1919087585993111,3,6.117524936795235,0.5,0.0003,3.698300138115883,balanced_mild,16.146636940880736,200,small_subset,,2.7253530137240887,2.0410588178783655,0.03942488133907318,0.18791615962982178,2.0965936183929443,3.817354917526245,2.4195313453674316,
0.04007290716981515,0.18923005869146436,4,6.158629355952144,0.5,0.0003,3.4199822768568993,balanced_mild,16.146636940880736,200,small_subset,,2.6719897791432836,1.8992211961497862,0.043229877948760986,0.17922186851501465,1.95671808719635,3.554992437362671,2.222990036010742,
0.040861628212345145,0.18667307503831884,5,5.899624654402335,0.5,0.0003,3.199780554821094,balanced_mild,16.146636940880736,200,small_subset,,2.6158518797407546,1.7865633548547823,0.03870009630918503,0.18775014579296112,1.8899489641189575,3.40439772605896,2.427762508392334,
0.1220366582274437,0.12235713005065918,,7.11362361907959,0.5,0.0003,7.433102130889893,weak_weighting,,200,tiny_batch,1,0.1987791508436203,3.8389081954956055,,,,,,2.0
0.1460416465997696,0.14595167338848114,,9.101479530334473,0.5,0.0003,8.808361053466797,weak_weighting,,200,tiny_batch,5,0.12376191467046738,4.5501322746276855,,,,,,2.0
0.1356538087129593,0.1376284509897232,,1.3426074981689453,0.5,0.0003,1.6244754791259766,weak_weighting,,200,tiny_batch,10,0.49634623527526855,0.9498661756515503,,,,,,2.0
0.15349580347537994,0.15333347022533417,,15.195594787597656,0.5,0.0003,12.990674018859863,weak_weighting,,200,tiny_batch,15,0.10710471868515015,6.648670673370361,,,,,,2.0
0.16753922402858734,0.16763408482074738,,12.517609596252441,0.5,0.0003,10.804009437561035,weak_weighting,,200,tiny_batch,20,0.18672801554203033,5.569638729095459,,,,,,2.0
0.11038129776716232,0.11239223182201385,,5.735690116882324,0.5,0.0003,5.870320796966553,weak_weighting,,200,tiny_batch,25,0.4784987270832062,3.0475525856018066,,,,,,2.0
0.13554581999778748,0.13632506132125854,,5.311160087585449,0.5,0.0003,1.3864718675613403,weak_weighting,,200,tiny_batch,30,0.32807403802871704,0.8295609951019287,,,,,,2.0
0.09833503514528275,0.09867049753665924,,6.648617744445801,0.5,0.0003,1.9631624221801758,weak_weighting,,200,tiny_batch,35,0.19034871459007263,1.080251693725586,,,,,,2.0
0.03747586451936513,0.05160197188767294,1,6.674827707310517,0.5,0.0003,4.586727199455102,weak_weighting,,200,small_subset,,2.939886124804616,2.344965567191442,0.04015062004327774,0.053602445870637894,2.3800015449523926,4.652798175811768,2.4548394680023193,2.0
0.03539470319325725,0.049586834657626845,2,6.344690443327029,0.5,0.0003,4.15111430734396,weak_weighting,,200,small_subset,,2.9480403581013284,2.1251439849535623,0.039660800248384476,0.05296770855784416,2.1687488555908203,4.23156213760376,2.431762218475342,2.0
0.03753085147279004,0.05099482481212666,3,6.329969175780813,0.5,0.0003,3.7726113001505532,weak_weighting,,200,small_subset,,2.837589238459865,1.9373004709680874,0.03712574020028114,0.05099320411682129,2.006896734237671,3.911807060241699,2.551506757736206,2.0
0.03840000997297466,0.05153991006469975,4,6.401658454909921,0.5,0.0003,3.4850694549580417,weak_weighting,,200,small_subset,,2.7810015391247966,1.79407464278241,0.04146825894713402,0.054119326174259186,1.8607913255691528,3.6133439540863037,2.3234634399414062,2.0
0.03951752127613872,0.0523325886654978,5,6.152026613553365,0.5,0.0003,3.250986951092879,weak_weighting,,200,small_subset,,2.7188682537525892,1.677826068053643,0.03726440295577049,0.05103825777769089,1.7948431968688965,3.48760986328125,2.548841714859009,2.0
